epoch,accuracy,loss,val_accuracy,val_loss
0,0.6403716206550598,0.8520703315734863,0.6946022510528564,0.7514666318893433
1,0.875,0.4433792531490326,0.6995738744735718,0.7356956005096436
2,0.7223931550979614,0.6872494220733643,0.7713068127632141,0.5842236876487732
3,0.78125,0.584549069404602,0.779356062412262,0.5741307735443115
4,0.7705645561218262,0.5882981419563293,0.7857481241226196,0.5683163404464722
5,0.90625,0.42015910148620605,0.7805397510528564,0.5798341631889343
6,0.7944726943969727,0.5327749252319336,0.8347538113594055,0.4421548843383789
7,0.84375,0.49604764580726624,0.8354640007019043,0.4403674006462097
8,0.8101550340652466,0.49631497263908386,0.8136836886405945,0.49749115109443665
9,0.6875,0.8191794753074646,0.8122632503509521,0.5103349685668945
